iter	MultiClass
0	1.07279064
1	1.050346396
2	1.034569488
3	1.017994643
4	1.002689543
5	0.9980262214
6	0.9854752435
7	0.9823814802
8	0.9790835938
9	0.9739508557
10	0.9681137921
11	0.9605322839
12	0.9561065867
13	0.9535797752
14	0.9492802708
15	0.9444842719
16	0.943169347
17	0.9406968427
18	0.9370716887
19	0.9350389575
20	0.933293457
21	0.9311560429
22	0.9292898237
23	0.9258625324
24	0.923635147
25	0.9218564687
26	0.9176582688
27	0.9167995265
28	0.9138540035
29	0.9119707772
30	0.9091850627
31	0.90708205
32	0.9043548066
33	0.9037263142
34	0.9017388621
35	0.9005414093
36	0.8982965491
37	0.8956668049
38	0.8930627035
39	0.8906855152
40	0.8873583652
41	0.8860043318
42	0.8851388774
43	0.8837789677
44	0.8810289835
45	0.8799277673
46	0.8770131957
47	0.8749725125
48	0.8747920649
49	0.8712619464
50	0.8698741055
51	0.8659358727
52	0.8647812676
53	0.8627752269
54	0.861569234
55	0.8597671002
56	0.8589128835
57	0.8579353857
58	0.8562818936
59	0.8546067899
60	0.8538488491
61	0.8525957766
62	0.8513609584
63	0.8493620084
64	0.8479803507
65	0.8464240996
66	0.8441245171
67	0.8425456778
68	0.8411878862
69	0.840353308
70	0.839645885
71	0.8387224562
72	0.8362750824
73	0.8358202666
74	0.8351831621
75	0.834146933
76	0.8329874641
77	0.8314415745
78	0.8292143021
79	0.8282248872
80	0.8278137249
81	0.8264084748
82	0.8251164761
83	0.8231476645
84	0.8206743431
85	0.8197304457
86	0.819291104
87	0.8186767589
88	0.8181720717
89	0.8170459678
90	0.8163669174
91	0.8148096975
92	0.8139324402
93	0.8133839982
94	0.8127150329
95	0.812405766
96	0.8119526317
97	0.8102650419
98	0.809883981
99	0.8090469067
100	0.8079995929
101	0.806948953
102	0.8056772756
103	0.804668617
104	0.8043139775
105	0.8033788044
106	0.8025249126
107	0.8018843916
108	0.8008259836
109	0.8001441477
110	0.7998220047
111	0.7990252813
112	0.7985904228
113	0.7975132744
114	0.7969427103
115	0.7964675288
116	0.795871795
117	0.7953409299
118	0.7944507189
119	0.7941289563
120	0.7938626534
121	0.7936195576
122	0.7930742742
123	0.7927468076
124	0.7924058943
125	0.7919921891
126	0.7916979224
127	0.7913793598
128	0.7901778147
129	0.7893463463
130	0.788576067
131	0.788285922
132	0.7879318408
133	0.7877582859
134	0.7872638492
135	0.7868546555
136	0.7860211442
137	0.7856183098
138	0.7853801284
139	0.7852159133
140	0.7848167444
141	0.7843020473
142	0.7839472003
143	0.7833848611
144	0.7825976889
145	0.7821164456
146	0.781865474
147	0.7814961319
148	0.7809110129
149	0.7804172483
150	0.7800691692
151	0.7796384521
152	0.7787661896
153	0.7782793681
154	0.7780361449
155	0.7777129907
156	0.7769301642
157	0.776316591
158	0.7758785164
159	0.7754479384
160	0.7749050108
161	0.7746591892
162	0.7742508099
163	0.7738481166
164	0.7736085055
165	0.7734266739
166	0.7731788393
167	0.7728927657
168	0.7725676817
169	0.7721764437
170	0.7718874052
171	0.7715011947
172	0.7709919395
173	0.7705681282
174	0.7703863352
175	0.7693280221
176	0.7691989005
177	0.7682266659
178	0.7677504887
179	0.7673663687
180	0.7669637576
181	0.7667241606
182	0.7664898122
183	0.7660870498
184	0.7656604777
185	0.7651631458
186	0.7650604387
187	0.7649238781
188	0.764753988
189	0.7643873588
190	0.7642339243
191	0.7639681306
192	0.7637501407
193	0.7635017826
194	0.7630390778
195	0.7626112392
196	0.7624106777
197	0.7622367541
198	0.7621118776
199	0.7616191976
200	0.7610143968
201	0.7607280916
202	0.7605648767
203	0.76025485
204	0.7601061751
205	0.7599328757
206	0.7597518355
207	0.7594970604
208	0.7593191824
209	0.7591290605
