iter	Passed	Remaining
0	150	126943
1	156	65700
2	161	45166
3	166	34883
4	172	28829
5	176	24583
6	180	21548
7	184	19238
8	188	17470
9	193	16084
10	197	14950
11	201	13971
12	206	13163
13	210	12469
14	215	11891
15	221	11423
16	226	10993
17	230	10564
18	235	10191
19	239	9852
20	244	9543
21	248	9258
22	252	9002
23	257	8762
24	261	8549
25	266	8352
26	278	8420
27	283	8232
28	287	8071
29	292	7905
30	296	7744
31	300	7599
32	304	7467
33	309	7343
34	313	7222
35	318	7124
36	322	7014
37	326	6907
38	330	6802
39	334	6712
40	339	6629
41	343	6540
42	347	6465
43	352	6384
44	355	6302
45	359	6221
46	363	6154
47	368	6087
48	371	6015
49	375	5944
50	379	5886
51	383	5830
52	388	5781
53	393	5740
54	397	5689
55	401	5638
56	405	5586
57	409	5538
58	413	5487
59	417	5441
60	422	5407
61	426	5366
62	431	5334
63	435	5299
64	440	5263
65	444	5228
66	448	5189
67	452	5146
68	455	5107
69	460	5074
70	463	5038
71	468	5006
72	472	4977
73	476	4946
74	480	4913
75	484	4878
76	487	4847
77	491	4816
78	495	4787
79	499	4760
80	504	4736
81	508	4709
82	511	4681
83	516	4657
84	520	4634
85	524	4608
86	528	4583
87	532	4564
88	537	4546
89	541	4523
90	545	4500
91	549	4481
92	553	4458
93	557	4437
94	561	4415
95	565	4395
96	569	4375
97	573	4354
98	577	4333
99	581	4315
100	585	4296
101	589	4276
102	593	4255
103	597	4239
104	601	4222
105	605	4204
106	609	4185
107	613	4168
108	617	4149
109	620	4130
110	624	4114
111	628	4099
112	633	4085
113	637	4067
114	641	4052
115	645	4039
116	649	4025
117	653	4008
118	657	3992
119	661	3980
120	665	3967
121	669	3954
122	675	3946
123	679	3934
124	683	3922
125	687	3908
126	691	3895
127	696	3882
128	700	3873
129	705	3862
130	709	3852
131	714	3842
132	718	3828
133	722	3818
134	726	3807
135	731	3796
136	735	3785
137	740	3775
138	744	3763
139	748	3752
140	752	3740
141	756	3729
142	760	3717
143	764	3705
144	769	3698
145	773	3686
146	776	3673
147	780	3658
148	784	3646
149	787	3633
150	791	3620
151	794	3607
152	798	3594
153	801	3582
154	805	3569
155	808	3557
156	812	3545
157	816	3533
158	819	3521
159	823	3508
160	826	3497
161	830	3486
162	834	3476
163	837	3463
164	841	3452
165	844	3440
166	849	3432
167	854	3427
168	859	3422
169	864	3416
170	869	3412
171	874	3406
172	879	3402
173	884	3396
174	889	3390
175	894	3386
176	900	3382
177	905	3377
178	910	3372
179	915	3368
180	920	3363
181	926	3359
182	931	3355
183	936	3348
184	940	3341
185	945	3335
186	949	3326
187	953	3316
188	957	3309
189	962	3303
190	967	3296
191	971	3287
192	974	3278
193	978	3268
194	982	3259
195	986	3250
196	990	3243
197	994	3234
198	998	3225
199	1001	3215
200	1005	3207
201	1009	3197
202	1012	3187
203	1016	3177
204	1019	3169
205	1023	3159
206	1026	3149
207	1030	3141
208	1034	3132
209	1037	3123
210	1041	3114
211	1045	3106
212	1048	3097
213	1052	3089
214	1055	3079
215	1059	3071
216	1063	3062
217	1066	3053
218	1070	3044
219	1073	3036
220	1077	3027
221	1081	3019
222	1085	3012
223	1089	3004
224	1093	2998
225	1097	2990
226	1101	2983
227	1105	2976
228	1109	2969
229	1113	2963
230	1117	2956
231	1121	2949
232	1125	2942
233	1129	2935
234	1133	2928
235	1137	2920
236	1141	2912
237	1145	2906
238	1148	2898
239	1152	2890
240	1155	2882
241	1159	2875
242	1163	2868
243	1167	2860
244	1170	2851
245	1173	2843
246	1177	2836
247	1181	2830
248	1185	2822
249	1189	2815
250	1193	2809
251	1196	2801
252	1200	2794
253	1203	2786
254	1207	2779
255	1210	2771
256	1214	2765
257	1218	2758
258	1223	2753
259	1226	2746
260	1230	2739
261	1234	2732
262	1238	2726
263	1241	2718
264	1245	2711
265	1248	2703
266	1251	2695
267	1255	2688
268	1258	2680
269	1261	2673
270	1265	2665
271	1268	2658
272	1271	2650
273	1275	2643
274	1279	2637
275	1282	2630
276	1286	2623
277	1289	2615
278	1292	2608
279	1295	2600
280	1298	2592
281	1302	2586
282	1306	2580
283	1309	2572
284	1313	2566
285	1317	2561
286	1321	2555
287	1324	2547
288	1327	2540
289	1330	2533
290	1334	2526
291	1337	2519
292	1340	2512
293	1343	2504
294	1346	2497
295	1350	2491
296	1354	2485
297	1357	2477
298	1360	2471
299	1364	2465
300	1367	2458
301	1370	2451
302	1374	2445
303	1377	2438
304	1381	2432
305	1384	2425
306	1387	2418
307	1390	2411
308	1394	2405
309	1398	2399
310	1401	2392
311	1405	2386
312	1408	2380
313	1411	2373
314	1414	2367
315	1418	2361
316	1422	2355
317	1425	2348
318	1428	2342
319	1432	2336
320	1435	2330
321	1439	2323
322	1442	2317
323	1445	2310
324	1448	2304
325	1451	2297
326	1454	2291
327	1457	2284
328	1460	2278
329	1464	2271
330	1467	2265
331	1470	2258
332	1473	2252
333	1477	2247
334	1480	2241
335	1484	2234
336	1487	2228
337	1491	2223
338	1494	2217
339	1498	2212
340	1501	2206
341	1505	2201
342	1509	2195
343	1512	2189
344	1515	2182
345	1518	2176
346	1521	2170
347	1524	2164
348	1527	2157
349	1530	2151
350	1533	2145
351	1536	2139
352	1539	2132
353	1542	2125
354	1544	2119
355	1547	2113
356	1551	2107
357	1554	2102
358	1558	2096
359	1561	2090
360	1564	2084
361	1568	2079
362	1571	2073
363	1574	2067
364	1577	2060
365	1579	2054
366	1583	2049
367	1586	2043
368	1589	2037
369	1592	2031
370	1595	2025
371	1598	2019
372	1601	2013
373	1604	2007
374	1607	2001
375	1610	1995
376	1613	1989
377	1616	1984
378	1620	1979
379	1623	1973
380	1626	1968
381	1629	1962
382	1632	1956
383	1636	1951
384	1639	1945
385	1642	1939
386	1644	1933
387	1647	1928
388	1650	1922
389	1653	1916
390	1656	1910
391	1659	1904
392	1662	1899
393	1665	1893
394	1668	1888
395	1671	1882
396	1674	1877
397	1678	1872
398	1681	1866
399	1684	1861
400	1687	1855
401	1690	1850
402	1694	1845
403	1697	1840
404	1700	1835
405	1703	1829
406	1706	1824
407	1710	1819
408	1712	1813
409	1715	1807
410	1718	1802
411	1721	1796
412	1724	1791
413	1727	1786
414	1730	1780
415	1734	1775
416	1737	1770
417	1740	1765
418	1743	1760
419	1746	1754
420	1749	1749
421	1752	1744
422	1756	1739
423	1759	1734
424	1762	1729
425	1765	1724
426	1769	1719
427	1772	1714
428	1775	1709
429	1778	1704
430	1781	1698
431	1784	1693
432	1787	1688
433	1790	1683
434	1793	1678
435	1796	1673
436	1799	1667
437	1802	1662
438	1805	1657
439	1808	1652
440	1811	1647
441	1814	1642
442	1818	1637
443	1821	1633
444	1825	1628
445	1828	1623
446	1832	1618
447	1835	1614
448	1838	1609
449	1841	1604
450	1844	1599
451	1847	1594
452	1851	1589
453	1854	1585
454	1857	1580
455	1860	1575
456	1864	1570
457	1867	1566
458	1871	1561
459	1873	1556
460	1876	1551
461	1879	1546
462	1883	1541
463	1887	1537
464	1890	1532
465	1893	1527
466	1896	1522
467	1899	1517
468	1902	1512
469	1905	1507
470	1908	1502
471	1911	1498
472	1914	1493
473	1917	1488
474	1920	1483
475	1923	1478
476	1926	1474
477	1929	1469
478	1932	1464
479	1935	1459
480	1938	1454
481	1941	1450
482	1945	1445
483	1948	1441
484	1951	1436
485	1955	1432
486	1958	1427
487	1961	1423
488	1964	1418
489	1967	1413
490	1970	1408
491	1973	1403
492	1976	1399
493	1979	1394
494	1982	1389
495	1985	1384
496	1988	1380
497	1991	1375
498	1994	1371
499	1998	1366
500	2002	1362
501	2005	1358
502	2009	1354
503	2013	1350
504	2016	1345
505	2019	1341
506	2023	1336
507	2026	1332
508	2029	1327
509	2032	1323
510	2035	1318
511	2039	1314
512	2042	1310
513	2046	1305
514	2049	1301
515	2053	1297
516	2056	1292
517	2060	1288
518	2063	1284
519	2066	1279
520	2070	1275
521	2074	1271
522	2077	1266
523	2080	1262
524	2084	1258
525	2087	1254
526	2090	1249
527	2094	1245
528	2097	1241
529	2101	1236
530	2104	1232
531	2107	1228
532	2111	1223
533	2114	1219
534	2118	1215
535	2121	1211
536	2125	1207
537	2129	1203
538	2132	1198
539	2135	1194
540	2138	1189
541	2142	1185
542	2146	1181
543	2149	1177
544	2153	1173
545	2156	1169
546	2159	1164
547	2163	1160
548	2166	1156
549	2170	1152
550	2174	1148
551	2177	1143
552	2181	1139
553	2184	1135
554	2188	1131
555	2191	1127
556	2195	1123
557	2198	1118
558	2201	1114
559	2204	1110
560	2208	1106
561	2211	1101
562	2214	1097
563	2218	1093
564	2221	1088
565	2224	1084
566	2227	1080
567	2231	1076
568	2234	1072
569	2238	1068
570	2241	1063
571	2245	1059
572	2248	1055
573	2252	1051
574	2255	1047
575	2260	1043
576	2263	1039
577	2267	1035
578	2271	1031
579	2275	1027
580	2279	1023
581	2282	1019
582	2286	1016
